,metallicity,spectral_group,spt,spt_id,t_eff
0,-0.094,K,K1.5V,60,5101.0
1,-0.057,G,G5V,52,5648.0
2,-0.115,G,G6V,53,5616.0
3,-0.119,G,G0V,47,5930.0
4,-0.078,G,G5V,52,5665.0
5,-0.19,G,G0V,47,5956.0
6,-0.19,G,G0V,47,5956.0
7,0.054,M,M4.5V,83,3109.0
8,-0.384,G,G8V,55,5428.0
9,-0.049,G,G0V,47,5929.0
10,-0.11,K,K1.5V,60,5118.0
11,-0.11,K,K1.5V,60,5118.0
12,0.14,K,K2V,61,5052.0
13,0.14,K,K2V,61,5052.0
14,-0.581,K,K2.5V,62,4957.0
15,-0.325,F,F9V,45,6080.0
16,-0.325,F,F9V,45,6080.0
17,-0.014,K,K2.5V,62,4980.0
18,-0.014,K,K2.5V,62,4980.0
19,-0.02,G,G6V,53,5571.0
20,-0.058,K,K0.5V,58,5216.0
21,-0.285,G,G0V,47,5931.0
22,0.205,M,M0V,74,3853.0
23,-0.657,G,G8V,55,5488.0
24,-0.766,G,G9V,56,5347.0
25,,G,G9V,56,
26,0.121,K,K3V,63,4901.0
27,-0.159,G,G4V,51,5688.0
28,0.07,G,G7V,54,5544.0
29,-0.01,K,K1.5V,60,5121.0
30,-0.099,G,G3V,50,5744.0
31,-0.17,K,K6.5V,70,4162.0
32,-0.079,G,G4V,51,5670.0
33,-0.113,G,G8V,55,5469.0
34,-0.048,G,G3V,50,5704.0
35,-0.041,G,G4V,51,5689.0
36,-0.014,G,G2V,49,5776.0
37,-0.15,G,G5V,52,5665.0
38,-0.034,G,G9V,56,5348.0
39,-0.034,G,G9V,56,5348.0
40,-0.114,F,F8V,44,6132.0
41,-0.114,F,F8V,44,6132.0
42,0.243,K,K3.5V,64,4683.0
43,-0.041,G,G8V,55,5425.0
44,0.003,K,K3V,63,4907.0
45,-0.078,F,F9.5V,46,5978.0
46,-0.078,F,F9.5V,46,5978.0
47,-0.255,G,G6V,53,5590.0
48,-0.305,F,F9.5V,46,6020.0
49,-0.031,G,G8V,55,5503.0
50,-0.264,F,F9.5V,46,5979.0
51,-0.818,G,G8V,55,5455.0
52,-0.429,F,F7V,43,6270.0
53,-0.058,G,G8V,55,5487.0
54,-0.232,K,K1V,59,5186.0
55,-0.116,G,G1V,48,5896.0
56,-0.373,G,G3V,50,5710.0
57,-0.248,G,G7V,54,5530.0
58,-0.248,G,G7V,54,5530.0
59,0.147,K,K0V,57,5264.0
60,0.147,K,K0V,57,5264.0
61,0.147,K,K0V,57,5264.0
62,-0.346,G,G9V,56,5350.0
63,-0.346,G,G9V,56,5350.0
64,-0.346,G,G9V,56,5350.0
65,-0.203,G,G1V,48,5893.0
66,-0.238,G,G2V,49,5800.0
67,-0.238,G,G2V,49,5800.0
68,-0.238,G,G2V,49,5800.0
69,-0.238,G,G2V,49,5800.0
70,-0.131,G,G6V,53,5578.0
71,-0.131,G,G6V,53,5578.0
72,0.052,K,K3V,63,4781.0
73,-0.173,G,G0V,47,5954.0
74,-0.173,G,G0V,47,5954.0
75,0.054,K,K3V,63,4825.0
76,-0.133,G,G0V,47,5915.0
77,0.17,G,G3V,50,5722.0
78,0.17,G,G3V,50,5722.0
79,-0.861,K,K2.5V,62,4926.0
80,-0.861,K,K2.5V,62,4926.0
81,0.509,K,K3.5V,64,4717.0
82,-0.151,F,F9V,45,6030.0
83,0.075,G,G0V,47,5938.0
84,0.075,G,G0V,47,5938.0
85,-0.188,G,G3V,50,5710.0
86,-0.188,G,G3V,50,5710.0
87,0.182,G,G8V,55,5472.0
88,-0.121,G,G3V,50,5744.0
89,-0.069,G,G9V,56,5319.0
90,-0.717,G,G8V,55,5440.0
91,-0.174,F,F9V,45,6084.0
92,-0.176,G,G6V,53,5617.0
93,0.042,G,G8V,55,5466.0
94,0.184,F,F6V,42,6297.0
95,0.184,F,F6V,42,6297.0
96,0.184,F,F6V,42,6297.0
97,-0.344,F,F1V,37,6921.0
98,-0.726,G,G6V,53,5605.0
99,-0.14,G,G7V,54,5537.0
100,-0.14,G,G7V,54,5537.0
101,-0.051,G,G8V,55,5480.0
102,-0.681,K,K3.5V,64,4660.0
103,-0.223,G,G2V,49,5755.0
104,-0.223,G,G2V,49,5755.0
105,-0.176,K,K5.5V,68,4350.0
106,0.292,G,G9V,56,5373.0
107,-0.43,F,F7V,43,6253.0
108,-0.29,G,G5V,52,5661.0
109,,G,G5V,52,
