B-V,BCv,Bt-Vt,G-V,H-Ks,J-H,Ks-W1,M_J,M_Ks,Mbol,Msun,Mv,R_Rsun,SpT,Teff,U-B,V-Ic,V-Ks,V-Rc,W1-W2,W1-W3,W1-W4,b-y,i-z,logAge,logL,logT,spt_id,z-Y
-0.32,-4.05,,,,,,,,-9.75,,-5.7,12.5,O3V,46000.0,-1.22,,,,,,,,,,5.8,4.663,0,
-0.32,-3.92,,,,,,,,-9.42,,-5.5,12.3,O4V,43000.0,-1.2,,,,,,,,,,5.67,4.633,1,
-0.32,-3.77,,,,,,,,-9.2,,-5.4,11.9,O5V,41500.0,-1.19,,,,,,,-0.133,,,5.58,4.618,2,
-0.32,-3.65,,,,,,,,-8.9,,-5.2,11.2,O5.5V,40000.0,-1.18,,,,,,,-0.133,,,5.46,4.602,3,
-0.32,-3.57,,,,,,,,-8.67,,-5.1,10.6,O6V,39000.0,-1.17,,,,,,,-0.132,,,5.37,4.591,4,
-0.32,-3.45,,,,,,,,-8.35,,-4.9,10.0,O6.5,37300.0,-1.16,,,,,,,-0.131,,,5.24,4.573,5,
-0.32,-3.38,,,,,,,,-8.18,28.0,-4.8,9.62,O7V,36500.0,-1.15,,,,,,,-0.13,,,5.17,4.562,6,
-0.32,-3.27,,,,,,,,-7.87,24.0,-4.6,9.11,O7.5V,35000.0,-1.14,,,,,,,-0.13,,,5.05,4.544,7,
-0.32,-3.22,,,,,,,,-7.72,22.9,-4.5,8.75,O8V,34500.0,-1.13,,,,,,,-0.129,,,4.99,4.538,8,
-0.32,-3.13,,,,,,,,-7.43,20.5,-4.3,8.33,O8.5V,33000.0,-1.12,,,,,,,-0.128,,,4.87,4.519,9,
-0.318,-3.09,,,-0.071,-0.164,,-3.44,-3.2,-7.29,19.7,-4.2,8.11,O9V,32500.0,-1.114,-0.369,-1.0,,,,,-0.127,,6.6,4.82,4.512,10,
-0.312,-3.06,,,-0.069,-0.161,,-3.35,-3.12,-7.15,18.5,-4.1,7.8,O9.5V,32000.0,-1.087,-0.361,-0.977,,,,,-0.125,,6.7,4.76,4.505,11,
-0.307,-3.02,,,-0.067,-0.159,,-3.27,-3.04,-7.02,17.5,-4.0,7.53,B0V,31500.0,-1.067,-0.355,-0.958,,,,,-0.122,,6.8,4.7,4.498,12,
-0.295,-2.87,,,-0.063,-0.153,,-2.9,-2.69,-6.43,15.0,-3.6,6.81,B0.5V,29000.0,-1.026,-0.338,-0.913,,,,,-0.12,,6.9,4.47,4.462,13,
-0.278,-2.61,,,-0.059,-0.148,,-2.43,-2.23,-5.68,11.0,-3.1,5.72,B1V,26000.0,-0.995,-0.325,-0.874,-0.115,,,,-0.113,,7.0,4.13,4.415,14,
